"concept","conceptLabel_en","conceptLabel_de","conceptLabel_fr","conceptDef_en","conceptDef_de","conceptDef_fr","altLabel_en","altLabel_de","altLabel_fr","includesLabel_en","includesLabel_de","includesLabel_fr","isUseOfLabel_en","isUseOfLabel_de","isUseOfLabel_fr","producesLabel_en","producesLabel_de","producesLabel_fr","isProducedByLabel_en","isProducedByLabel_de","isProducedByLabel_fr"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de feu",,,,,,,"charcoal","Holzkohle","charbon de bois","fuel crops","Treibstoff liefernde Pflanze","plante énergétique"
"http://aims.fao.org/aos/agrovoc/c_3137","fuelwood","Brennholz","bois de chauffage","Fuelwood: woodfuel where the original composition of the wood is preserved.",,,"firewood",,"bois de feu",,,,,,,"fuel crops","Treibstoff liefernde Pflanze","plante énergétique","fuel crops","Treibstoff liefernde Pflanze","plante énergétique"
"http://aims.fao.org/aos/agrovoc/c_11083","garden annuals","einjährige Gartenpflanze","plante de jardin annuelle",,,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_11085","garden biennials","zweijährige Gartenpflanze","plante de jardin bisannuelle",,,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3484","handle stocks","Holz für Handgriffe","bois pour manches",,,,"broom handles","Besenstiel",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3484","handle stocks","Holz für Handgriffe","bois pour manches",,,,"stocks (tool handle)","Besenstiel",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3484","handle stocks","Holz für Handgriffe","bois pour manches",,,,"broom handles","Stiel (Gerätegriff)",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3484","handle stocks","Holz für Handgriffe","bois pour manches",,,,"stocks (tool handle)","Stiel (Gerätegriff)",,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3495","hardwood","Laubholz","bois de feuillus","Wood from trees that produce flowers and have broad leaves and the seeds of which are enclosed in seed-bearing structures or fruit.",,,,,,,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3518","heartwood","Kernholz","bois de coeur","The older inactive central wood of a tree or woody plant; usually darker and denser than the surrounding sapwood",,,,,"bois parfait",,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3518","heartwood","Kernholz","bois de coeur","The older inactive central wood of a tree or woody plant; usually darker and denser than the surrounding sapwood",,,,,"duramen",,,,,,,,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Anemone","Anemone","Anémone",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Anthurium","Anthurium","Anthurium",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Aquilegia","Aquilegia","Aquilegia",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Begonia hiemalis","Begonia hiemalis","Begonia hiemalis",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Callistephus","Callistephus","Callistephus",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Canna indica","Canna indica","Canna indica",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Centaurea cyanus","Centaurea cyanus","Centaurea cyanus",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Chrysanthemum coronarium","Chrysanthemum coronarium","Chrysanthemum coronarium",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Clematis","Clematis","Clematis",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Dahlia","Dahlia","Dahlia",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Datura","Datura","Datura",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Delphinium","Delphinium","Delphinium",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Dianthus","Dianthus","Dianthus",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Dieffenbachia","Dieffenbachia","Dieffenbachia",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Gerbera","Gerbera","Gerbera",,,,,,
"http://aims.fao.org/aos/agrovoc/c_3564","herbaceous ornamentals","krautige Zierpflanze","plante ornementale herbacée",,,,,,,"Alstroemeria","Alstroemeria","Alstroemeria","Gloxinia","Gloxinia","Gloxinia",,,,,,
